category_level_1_name;category_level_2_name;category_level_3_name;category_level_4_name;category_level_5_name;category_action;category_id;category_url;;param_action;param_type;param_id;param_name;param_multiselect_on_posting;param_multiselect_on_filter;param_required_on_posting;;value_action;value_id;value_url;value_name
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;;;;;;;;;;;;
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;29;Состояние;;;;;;;;
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;29;Состояние;;;;;old;2757;https://lalafo.az/azerbaijan/igrushki/new;Новый
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;29;Состояние;;;;;old;2756;https://lalafo.az/azerbaijan/igrushki/used;Б/у
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;425;Доставка;;;;;;;;
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;425;Доставка;;;;;old;27236;https://lalafo.az/azerbaijan/igrushki/p-27236-customer-pickup;Самовывоз
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;425;Доставка;;;;;old;30644;https://lalafo.az/azerbaijan/igrushki/delivery-to-areas;Доставка в районы
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;425;Доставка;;;;;old;27240;https://lalafo.az/azerbaijan/igrushki/free-delivery;Бесплатная доставка
Детский мир;Игрушки;-;-;-;old;1473;https://lalafo.az/azerbaijan/igrushki;;old;dropdown;425;Доставка;;;;;old;27241;https://lalafo.az/azerbaijan/igrushki/paid-delivery;Платная доставка
Детский мир;Игрушки;Игрушечный транспорт;-;-;new;11109;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;-;-;new;11109;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat;;add;dropdown;29;Состояние;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;-;-;new;11109;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat;;add;dropdown;425;Доставка;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;add;dropdown;29;Состояние;ЛОЖЬ;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;add;dropdown;425;Доставка;ИСТИНА;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5308;Бренд;ИСТИНА;ИСТИНА;ЛОЖЬ;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5308;Бренд;;;;;new;75586;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/hot-wheels;Hot wheels
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5308;Бренд;;;;;new;76043;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/maisto_76043_13;Maisto
